File name	Line	Function	Duration[ms]	Explored nodes
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Demo\Scripts\DemoCell.cs	19	_DemoCell.Start$$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Demo\Scripts\DemoCell.cs	26	_DemoCell.ConfigureCell$ContactInfo.int$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Demo\Scripts\DemoCell.cs	37	_DemoCell.ButtonListener$$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\HorizontalRecyclingSystem.cs	77	_PolyAndCode.UI.HorizontalRecyclingSystem.SetRecyclingBounds$$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Demo\Scripts\RecyclableScrollerDemo.cs	30	_RecyclableScrollerDemo.Awake$$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Demo\Scripts\RecyclableScrollerDemo.cs	37	_RecyclableScrollerDemo.InitData$$	5	407
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Demo\Scripts\RecyclableScrollerDemo.cs	57	_RecyclableScrollerDemo.GetItemCount$$	0	2
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Demo\Scripts\RecyclableScrollerDemo.cs	66	_RecyclableScrollerDemo.SetCell$PolyAndCode.UI.ICell.int$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Editor1\RecyclableScrollRectEditor.cs	35	_PolyAndCode.UI.RecyclableScrollRectEditor.OnEnable$$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Editor1\RecyclableScrollRectEditor.cs	60	_PolyAndCode.UI.RecyclableScrollRectEditor.OnDisable$$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Editor1\RecyclableScrollRectEditor.cs	72	_PolyAndCode.UI.RecyclableScrollRectEditor.SetAnimBool$UnityEditor.AnimatedValues.AnimBool.bool.bool$	0	6
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\RecyclableScrollRect.cs	47	_PolyAndCode.UI.RecyclableScrollRect.Start$$	0	7
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\RecyclableScrollRect.cs	84	_PolyAndCode.UI.RecyclableScrollRect.Initialize$PolyAndCode.UI.IRecyclableScrollRectDataSource$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\RecyclableScrollRect.cs	91	_PolyAndCode.UI.RecyclableScrollRect.OnValueChangedListener$UnityEngine.Vector2$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\RecyclableScrollRect.cs	97	_PolyAndCode.UI.RecyclableScrollRect.OnDrawGizmos$$	0	5
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\UIExtension.cs	11	_UIExtension.MaxY$UnityEngine.RectTransform$	0	2
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\UIExtension.cs	18	_UIExtension.MinY$UnityEngine.RectTransform$	0	2
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\UIExtension.cs	25	_UIExtension.MaxX$UnityEngine.RectTransform$	0	2
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\UIExtension.cs	32	_UIExtension.MinX$UnityEngine.RectTransform$	0	2
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\VerticalRecyclingSystem.cs	124	_PolyAndCode.UI.VerticalRecyclingSystem.SetRecyclingBounds$$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\VerticalRecyclingSystem.cs	509	_PolyAndCode.UI.VerticalRecyclingSystem.SetTopAnchor$UnityEngine.RectTransform$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\VerticalRecyclingSystem.cs	524	_PolyAndCode.UI.VerticalRecyclingSystem.SetTopLeftAnchor$UnityEngine.RectTransform$	0	3
D:\GitHub-Projects\Recyclable-Scroll-Rect\Assets\Recyclable Scroll Rect\Main\Scripts\VerticalRecyclingSystem.cs	541	_PolyAndCode.UI.VerticalRecyclingSystem.OnDrawGizmos$$	0	3
